,Price,Area,Location,No. of Bedrooms,Lift Available,Car Parking
622,25500000,1200,Chembur,2,1,0
623,15300000,850,Chembur,2,1,0
624,17000000,776,Chembur,2,1,1
625,9000000,600,Chembur,1,0,0
626,17000000,1020,Chembur,1,1,1
627,9200000,600,Chembur,1,1,0
628,19500000,1278,Chembur,2,1,1
629,19100000,1278,Chembur,2,1,1
630,12700000,585,Chembur East,1,1,1
631,32100000,1550,Chembur East,3,1,1
632,18200000,1050,Chembur East,2,1,1
633,24500000,1120,Chembur East,2,1,1
634,19000000,1150,Chembur East,2,1,1
635,12000000,675,Chembur East,1,1,1
636,10700000,675,Chembur East,1,1,1
637,29000000,1350,Chembur East,3,1,1
638,40000000,1850,Chembur East,3,1,1
639,22200000,1270,Chembur East,2,1,1
640,19500000,1073,Chembur East,2,1,1
641,6500000,566,Dahisar,1,1,1
642,18000000,1069,Dahisar,2,0,1
643,15000000,686,Dahisar,2,0,1
644,59500000,2730,Dahisar,4,1,1
645,28000000,1850,Dahisar,3,1,1
646,26000000,1230,Dahisar,3,1,1
647,26000000,1250,Dahisar,3,1,1
648,5700000,450,Dahisar,1,1,0
649,15000000,1100,Dahisar,2,1,0
650,16000000,950,Dahisar,2,1,1
651,9500000,580,Dahisar,1,1,0
652,8000000,640,Dahisar,1,1,1
653,7450000,600,Dahisar,1,1,1
654,13500000,850,Dahisar,2,1,0
655,14000000,750,Dahisar,2,1,0
656,5500000,354,Dahisar,1,0,0
657,9000000,510,Dahisar,1,1,0
658,13000000,850,Dahisar,2,0,1
659,14500000,890,Dahisar,2,0,0
660,14500000,820,Dahisar,2,0,0
661,9800000,595,Dahisar,1,1,1
662,14200000,780,Dahisar,2,0,0
663,16000000,1044,Dahisar,3,0,0
664,13899999,720,Dahisar,2,1,1
665,14500000,721,Dahisar,2,1,1
666,9200000,620,Dahisar,1,1,0
667,18000000,1010,Dahisar,2,0,0
668,6200000,480,Dahisar,1,0,0
669,14500000,850,Dahisar,2,0,0
670,21500000,950,Dahisar,2,1,1
671,13899999,992,Dahisar,2,1,1
672,29400000,1984,Dahisar,4,1,1
673,15500000,850,Dahisar,2,1,0
674,9100000,650,Dahisar,1,1,1
675,22500000,1250,Dahisar,3,1,1
676,22500000,1196,Dahisar,3,1,1
